instance, First-Fit solution
101, 37
102, 47
103, 44
104, 38
105, 35
106, 44
107, 38
108, 49
109, 39
110, 42
111, 50
112, 67
113, 48
114, 51
115, 53
116, 60
117, 51
118, 56
119, 56
120, 50
